Mes numero,Mes,Instante lectura,Chuvia,Hum,Ndiaschuvia,Tmed de min,Tmax,Tmed,Tmed de max,Tmin,Vento,Estación
12,Diciembre,2020-12-01 00:00:00.0,287.5,96,26,-0.3,11.4,1.9,4.4,-6.3,20.2,2
1,Enero,2021-01-01 00:00:00.0,220.8,89,16,-1.5,12.2,1,4.6,-9.8,16.2,2
2,Febrero,2021-02-01 00:00:00.0,324.9,91,18,1.2,14.5,3.6,6.8,-3.8,13.4,2
3,Marzo,2021-03-01 00:00:00.0,49.5,79,11,0.9,20.3,5.2,10.9,-5.2,12.3,2
4,Abril,2021-04-01 00:00:00.0,54.9,76,15,3,19.5,7.1,13.3,-3.1,12.8,2
5,Mayo,2021-05-01 00:00:00.0,140.7,82,14,3.9,25.5,8.8,15.3,-1,13.7,2
6,Junio,2021-06-01 00:00:00.0,143.1,84,13,7.4,26.2,12.6,19,1.8,12.2,2
7,Julio,2021-07-01 00:00:00.0,15.6,82,12,9.1,29.3,14.7,21.9,5.4,12.8,2
8,Agosto,2021-08-01 00:00:00.0,47.3,78,6,10.1,31.5,16.1,24.2,5.4,11.9,2
9,Septiembre,2021-09-01 00:00:00.0,137.2,87,13,8.8,27.3,12.6,18.3,3.1,9,2
10,Octubre,2021-10-01 00:00:00.0,184.2,82,12,6.7,21.9,10.2,15.7,3.2,11.7,2
11,Noviembre,2021-11-01 00:00:00.0,54.4,88,12,1,15.9,3.7,7.9,-2.5,14.9,2
12,Diciembre,2021-12-01 00:00:00.0,250.1,89,21,2.3,14.5,4.7,7.4,-2.3,20.1,2
1,Enero,2022-01-01 00:00:00.0,29.7,74,8,0,14.7,3.1,8.4,-5.6,12.7,2
2,Febrero,2022-02-01 00:00:00.0,31.4,79,8,1,16.8,4.4,9.8,-2.1,13,2
3,Marzo,2022-03-01 00:00:00.0,112.4,89,17,0.6,16.1,3.8,8.8,-4.7,12.4,2
4,Abril,2022-04-01 00:00:00.0,82,81,12,1,23.2,5.8,12.3,-7.6,12.4,2
5,Mayo,2022-05-01 00:00:00.0,52.2,74,11,7.6,27,13,20.1,0.7,12.1,2
6,Junio,2022-06-01 00:00:00.0,102.7,85,19,8.3,28.9,13.1,19.5,4,10.3,2
7,Julio,2022-07-01 00:00:00.0,16.4,69,3,12.5,34.1,19,27.3,4.4,12.2,2
8,Agosto,2022-08-01 00:00:00.0,38.7,73,6,12.3,35.1,18.4,26.9,5,12.7,2
9,Septiembre,2022-09-01 00:00:00.0,68.7,84,13,8.4,27.7,12.6,18.9,1.9,11.7,2
10,Octubre,2022-10-01 00:00:00.0,238.8,85,16,8,24.8,11.3,16.3,4.6,9.2,2
11,Noviembre,2022-11-01 00:00:00.0,288.3,94,21,3,15.4,5.4,9,-0.3,17.2,2
12,Diciembre,2022-12-01 00:00:00.0,342.5,95,22,2.8,10.6,4.6,6.8,-4.3,12,2
1,Enero,2023-01-01 00:00:00.0,329.8,92,17,-1.6,11.4,1.3,5.1,-6.7,16.7,2
2,Febrero,2023-02-01 00:00:00.0,33.1,69,7,-0.6,15.7,3,9.1,-8.2,11.1,2
3,Marzo,2023-03-01 00:00:00.0,167.5,82,15,2,19.8,5.8,11,-7.3,14.3,2
4,Abril,2023-04-01 00:00:00.0,79.9,70,9,4.5,23.9,9.7,17,-3.2,14.3,2
5,Mayo,2023-05-01 00:00:00.0,76.2,82,12,4.6,23.5,10.1,17.7,0,11.6,2
6,Junio,2023-06-01 00:00:00.0,220.8,87,15,9.9,29.3,14.7,21.4,4.8,9.9,2
7,Julio,2023-07-01 00:00:00.0,17.6,81,6,9.3,27.5,15.4,22.7,3.9,10.7,2
8,Agosto,2023-08-01 00:00:00.0,68.3,77,10,11.1,34.9,16.8,24.2,7,12.9,2
9,Septiembre,2023-09-01 00:00:00.0,108.9,85,16,9.8,27.2,13.6,19.5,3.6,9.5,2
10,Octubre,2023-10-01 00:00:00.0,504.9,83,18,8.6,27.7,11.6,15.9,2.6,12.7,2
11,Noviembre,2023-11-01 00:00:00.0,474.7,92,21,3.9,18.3,6.6,10.1,-0.7,16.4,2
12,Diciembre,2023-12-01 00:00:00.0,197.4,82,18,1.5,17.3,4,7.6,-1.7,15.8,2
1,Enero,2024-01-01 00:00:00.0,164.4,88,15,1.7,17.7,4.2,7.5,-5.1,14.9,2
2,Febrero,2024-02-01 00:00:00.0,170.6,86,14,2.1,18.1,5.1,9.6,-2.2,16.1,2
5,Mayo,2009-05-01 00:00:00.0,77.3,74.4,10,9.4,31.4,13.9,19.2,5.6,10.1,3
6,Junio,2009-06-01 00:00:00.0,134.3,76.7,13,12.9,30,16.8,21.7,10.6,12.2,3
7,Julio,2009-07-01 00:00:00.0,108.9,78.2,11,12.8,26.7,16.6,21,8.3,10.1,3
8,Agosto,2009-08-01 00:00:00.0,22.7,75.5,4,13.7,31.2,18.3,23.7,9.4,11.5,3
9,Septiembre,2009-09-01 00:00:00.0,17.3,72.9,5,12.4,30.1,17.4,23.7,8.6,11.2,3
10,Octubre,2009-10-01 00:00:00.0,240.2,80.1,14,12.7,26.4,15.9,20.2,5.5,9.7,3
11,Noviembre,2009-11-01 00:00:00.0,303.9,85,24,9.4,18,11.5,14,4.3,12.2,3
12,Diciembre,2009-12-01 00:00:00.0,503.4,82.4,19,5,16.7,8,11.3,-2.2,11.9,3
1,Enero,2010-01-01 00:00:00.0,212.3,85,18,4.7,14.8,7.3,10.1,-2.8,11.2,3
2,Febrero,2010-02-01 00:00:00.0,457.2,77,18,4.2,15,7.2,10.6,-2.1,14,3
3,Marzo,2010-03-01 00:00:00.0,173.2,71,14,5.5,18.6,9.1,13.3,-0.6,13.9,3
4,Abril,2010-04-01 00:00:00.0,80.8,69,13,7.9,26.4,12.9,18.5,1.1,10.7,3
5,Mayo,2010-05-01 00:00:00.0,124.7,71,12,9.5,31.7,13.9,18.6,4.2,10.7,3
6,Junio,2010-06-01 00:00:00.0,70.3,73,4,12.5,31.5,16.8,21.6,8.3,12.5,3
7,Julio,2010-07-01 00:00:00.0,14.9,72,5,14.4,32.9,18.9,24.6,10.7,13.8,3
8,Agosto,2010-08-01 00:00:00.0,1,70,3,14.4,35.2,19.2,25.1,11.1,13.5,3
9,Septiembre,2010-09-01 00:00:00.0,28.5,73,6,12.5,32,17.1,23,7,10,3
10,Octubre,2010-10-01 00:00:00.0,301.4,78,13,9.6,21.3,13.4,17.8,4.6,10.8,3
11,Noviembre,2010-11-01 00:00:00.0,222.7,85,21,6.6,23.5,9.3,12.6,-1.5,9.7,3
12,Diciembre,2010-12-01 00:00:00.0,221.5,79,19,4.6,19.3,7.7,11.1,-1.5,10.1,3
1,Enero,2011-01-01 00:00:00.0,227.6,78,14,5.9,14.8,8.5,11.4,0.3,11.4,3
2,Febrero,2011-02-01 00:00:00.0,146.5,81,12,4.9,18,8.6,12.8,-0.4,10,3
3,Marzo,2011-03-01 00:00:00.0,92.8,72,14,6.4,21.9,10.2,14.8,2.2,11.1,3
4,Abril,2011-04-01 00:00:00.0,72.7,67,8,10,31.4,15,21.1,3.1,11.3,3
5,Mayo,2011-05-01 00:00:00.0,53.5,72,5,10.7,29.3,15.1,20.8,8.2,13.5,3
6,Junio,2011-06-01 00:00:00.0,0.9,67,3,11.7,35,16.2,21,7.5,12.6,3
7,Julio,2011-07-01 00:00:00.0,5.6,72,7,13.2,31.5,17.1,21.7,11.2,11.7,3
8,Agosto,2011-08-01 00:00:00.0,55.8,75,10,13.5,32.9,18,23.6,7.9,10.7,3
9,Septiembre,2011-09-01 00:00:00.0,22.7,76,5,14.1,28,17.7,22.3,8.7,9.6,3
10,Octubre,2011-10-01 00:00:00.0,186.7,68,7,10.2,30.7,15.5,21.9,4.7,9.8,3
11,Noviembre,2011-11-01 00:00:00.0,192.2,82,20,8,21.8,11.3,14.8,1.4,9.1,3
12,Diciembre,2011-12-01 00:00:00.0,79,84,14,5.9,14.5,8.8,11.9,-0.1,10.1,3
1,Enero,2012-01-01 00:00:00.0,29.2,81.5,7,4.2,14.9,7.8,11.8,-2,9.7,3
2,Febrero,2012-02-01 00:00:00.0,1.5,68.9,4,2.5,20.8,7.3,12.5,-2.5,11.5,3
3,Marzo,2012-03-01 00:00:00.0,29.2,59.5,11,6.1,25.6,12.2,19,0.2,11.2,3
4,Abril,2012-04-01 00:00:00.0,160,77.1,24,5.7,22.7,9.1,12.8,1.7,12.2,3
5,Mayo,2012-05-01 00:00:00.0,126.8,73.9,14,10.3,33.7,14.5,19.4,5.9,10.8,3
6,Junio,2012-06-01 00:00:00.0,76.7,74.2,17,12.2,37.4,16.3,20.5,8.5,11.5,3
7,Julio,2012-07-01 00:00:00.0,6.7,71.4,8,12.9,34.1,17.5,22.8,8.6,10.4,3
8,Agosto,2012-08-01 00:00:00.0,57.4,74.9,12,14.3,32.5,18,22.5,8.6,10.4,3
9,Septiembre,2012-09-01 00:00:00.0,66.7,71.4,8,13,32,17.5,23,5.6,12.6,3
10,Octubre,2012-10-01 00:00:00.0,156.9,78.7,16,9.9,24.4,13.7,17.5,2.2,11.5,3
11,Noviembre,2012-11-01 00:00:00.0,233.4,79.8,25,6.3,20.5,9.6,13.2,1.6,13.3,3
12,Diciembre,2012-12-01 00:00:00.0,353.2,86,25,6.9,14.9,9.3,11.8,-0.9,13,3
1,Enero,2013-01-01 00:00:00.0,299.5,90.6,24,5.3,17.8,8.3,11.6,-0.2,9.7,3
2,Febrero,2013-02-01 00:00:00.0,159.3,85.9,17,4.4,17.6,7.4,10.6,-1.4,9.4,3
3,Marzo,2013-03-01 00:00:00.0,311,85,27,6.3,16.7,9.1,12.1,-0.7,12.6,3
4,Abril,2013-04-01 00:00:00.0,161.6,78.1,15,6.7,24.3,10.3,14.4,1.6,14.8,3
5,Mayo,2013-05-01 00:00:00.0,68.3,78.7,11,6.6,21.6,10.7,15.2,1.5,11.9,3
6,Junio,2013-06-01 00:00:00.0,41.1,77.6,8,10.7,30.5,14.7,19.3,7.6,13,3
7,Julio,2013-07-01 00:00:00.0,25.9,73.7,4,15.5,36.6,20.4,26.4,11.6,10.8,3
8,Agosto,2013-08-01 00:00:00.0,12.7,76.2,3,14.2,31.2,18.5,24.2,10.5,13.3,3
9,Septiembre,2013-09-01 00:00:00.0,77.6,76.3,5,13.7,31.9,17.9,23.2,8.7,11.5,3
10,Octubre,2013-10-01 00:00:00.0,430.2,85.5,20,11.6,24.4,14.8,18.3,2.3,11.9,3
11,Noviembre,2013-11-01 00:00:00.0,83.2,82.6,11,7.4,16.6,10.1,13,0.4,12.6,3
12,Diciembre,2013-12-01 00:00:00.0,219,80.1,15,4.5,15.1,8.1,12,-2.3,11.9,3
1,Enero,2014-01-01 00:00:00.0,404.6,89.7,29,6.3,13.5,8.6,10.8,2.4,13,3
2,Febrero,2014-02-01 00:00:00.0,371.4,84.9,25,5.1,13.6,7.8,10.6,0,16.2,3
3,Marzo,2014-03-01 00:00:00.0,94.5,75.5,14,6,23.3,10.3,15.3,1.1,11.5,3
4,Abril,2014-04-01 00:00:00.0,115.2,80.6,20,8.9,26.5,12.5,16.5,5,10.8,3
5,Mayo,2014-05-01 00:00:00.0,76.7,74.5,9,8.6,27.3,12.9,17.8,5.5,10.1,3
6,Junio,2014-06-01 00:00:00.0,77.4,75.6,15,12.2,30.8,16.3,21.3,8.4,10.4,3
7,Julio,2014-07-01 00:00:00.0,68.3,79.5,13,13.9,30.7,17.8,22.5,9.3,12.6,3
8,Agosto,2014-08-01 00:00:00.0,25.4,79.7,12,13,30,17.2,21.8,8.8,10.4,3
9,Septiembre,2014-09-01 00:00:00.0,145.3,82.4,15,14.5,32,18.3,22.8,8.4,8.6,3
10,Octubre,2014-10-01 00:00:00.0,142.6,84.5,18,12.2,28.2,16.2,21.1,8.6,8.6,3
11,Noviembre,2014-11-01 00:00:00.0,303.2,89.4,23,8.1,18.4,10.9,13.6,2.4,9.7,3
12,Diciembre,2014-12-01 00:00:00.0,63.3,87.6,11,5.5,15.1,8.3,11.3,-0.7,7.9,3
1,Enero,2015-01-01 00:00:00.0,170.5,89,17,4.5,14.3,7.6,10.9,-1.6,8.8,3
2,Febrero,2015-02-01 00:00:00.0,112.3,84,21,4.1,13.9,7,10.2,-0.3,10.7,3
3,Marzo,2015-03-01 00:00:00.0,41.7,77,13,5.8,21.7,9.7,14.2,1.7,13.4,3
4,Abril,2015-04-01 00:00:00.0,100.3,75,17,8.6,26.3,13.1,18.4,4.4,10.3,3
5,Mayo,2015-05-01 00:00:00.0,89,78,12,10.1,25.6,14.2,19,7.2,14.1,3
6,Junio,2015-06-01 00:00:00.0,8.3,74,6,12.7,34.8,17.8,24,8.1,12,3
7,Julio,2015-07-01 00:00:00.0,15.7,78,9,14.2,34.1,18.5,23.8,10.7,11.2,3
8,Agosto,2015-08-01 00:00:00.0,93.7,83,13,14,29.7,17.6,22.1,10.8,11.1,3
9,Septiembre,2015-09-01 00:00:00.0,66,80,9,11.2,27.9,15.6,20.9,7.3,10.9,3
10,Octubre,2015-10-01 00:00:00.0,191.6,82,17,10.7,23.5,14.3,18.1,4.7,11.4,3
11,Noviembre,2015-11-01 00:00:00.0,44.8,88,9,9.5,21.1,12.4,16.1,-0.1,8.6,3
12,Diciembre,2015-12-01 00:00:00.0,153.7,82,17,8.5,19.6,11.4,14.6,0.2,10.5,3
1,Enero,2016-01-01 00:00:00.0,384.3,87,25,6.8,20,9.6,12.3,0.3,12.6,3
2,Febrero,2016-02-01 00:00:00.0,248.4,85,19,5.7,17.9,8.5,11.3,-1.5,12.2,3
3,Marzo,2016-03-01 00:00:00.0,253.3,80,20,5.2,17.7,8.8,12.8,0.4,12.2,3
4,Abril,2016-04-01 00:00:00.0,202.3,79,16,6.3,21.1,10,14.1,0.5,11.8,3
5,Mayo,2016-05-01 00:00:00.0,190.4,79,18,9.6,29.2,13.5,18,3.9,8.9,3
6,Junio,2016-06-01 00:00:00.0,34.9,77,10,12.3,27.8,16.5,21.3,8.6,10.9,3
7,Julio,2016-07-01 00:00:00.0,0.5,72,2,14.5,34.6,19.5,25.6,9.6,12.6,3
8,Agosto,2016-08-01 00:00:00.0,9.7,70,3,14.1,34.8,19.6,26.5,10.4,11.6,3
9,Septiembre,2016-09-01 00:00:00.0,61.9,79,5,12.7,38.4,17.4,23.4,9.5,9,3
10,Octubre,2016-10-01 00:00:00.0,90.1,81,10,10.4,27.6,14.8,20.2,6.2,7.8,3
11,Noviembre,2016-11-01 00:00:00.0,124.9,84,14,6.9,22.1,10.2,14.2,0.9,8.6,3
12,Diciembre,2016-12-01 00:00:00.0,49.1,82,8,6.1,19.3,10,14.5,-1.7,7.3,3
1,Enero,2017-01-01 00:00:00.0,60.8,83,14,3.6,16,7.3,11.7,-3.2,8.6,3
2,Febrero,2017-02-01 00:00:00.0,253,82,16,6.4,22.3,9.7,13.4,-0.1,13.2,3
3,Marzo,2017-03-01 00:00:00.0,154,79,17,7.2,24.6,10.6,15,1.2,12.1,3
4,Abril,2017-04-01 00:00:00.0,26.7,63,5,7.4,28.4,13.5,20.4,2.4,11.6,3
5,Mayo,2017-05-01 00:00:00.0,185.2,76,13,11.5,32,15.9,21,5.1,9.4,3
6,Junio,2017-06-01 00:00:00.0,23.5,74,6,13.5,34.2,18.2,23.6,8.7,9.8,3
7,Julio,2017-07-01 00:00:00.0,1.7,78,2,14.1,33.5,18.4,23.5,9.6,10.7,3
8,Agosto,2017-08-01 00:00:00.0,31.1,75,8,14.3,34.1,18.7,24.5,10.5,10.6,3
9,Septiembre,2017-09-01 00:00:00.0,26.9,81,16,12.1,25.4,15.7,20.3,7.7,8.6,3
10,Octubre,2017-10-01 00:00:00.0,54.4,75,5,10.4,29.1,15.9,22.9,4.4,9.3,3
11,Noviembre,2017-11-01 00:00:00.0,90.2,82,13,5.9,20.8,10,14.7,-1.4,8.8,3
12,Diciembre,2017-12-01 00:00:00.0,209.4,86,19,4.6,16.9,8.4,12.4,-1.3,10,3
1,Enero,2018-01-01 00:00:00.0,107.5,88,19,5.8,17.2,8.7,11.6,-0.3,9.6,3
2,Febrero,2018-02-01 00:00:00.0,143.1,81,16,3.1,18.1,6.8,10.8,-1.5,11.5,3
3,Marzo,2018-03-01 00:00:00.0,345.9,83,27,5.1,15.5,7.9,11.1,-0.4,13.1,3
4,Abril,2018-04-01 00:00:00.0,168.5,80,18,7.5,24.8,11,15.6,2.6,11.7,3
5,Mayo,2018-05-01 00:00:00.0,26,75,10,9.6,27,13.9,18.9,1.9,11.4,3
6,Junio,2018-06-01 00:00:00.0,82.2,82,12,13.3,32.9,16.6,21,10.2,9.1,3
7,Julio,2018-07-01 00:00:00.0,46.9,80,8,15.4,30.5,18.8,23.1,12.5,9.5,3
8,Agosto,2018-08-01 00:00:00.0,21.6,75,2,14.7,37.3,20,26.3,10.2,11.3,3
9,Septiembre,2018-09-01 00:00:00.0,5.6,75,3,14.5,33.5,19.3,25.7,10.9,10.6,3
10,Octubre,2018-10-01 00:00:00.0,131.9,76,13,9.4,29.8,13.8,19,3.3,10.6,3
11,Noviembre,2018-11-01 00:00:00.0,307.4,86,24,8,20.8,10.8,14,0.9,8.7,3
12,Diciembre,2018-12-01 00:00:00.0,144.3,87,21,7.7,17,10.4,13.4,1.2,10.3,3
1,Enero,2019-01-01 00:00:00.0,100.2,82,15,3.9,16.1,7.5,12,-2.2,10.1,3
2,Febrero,2019-02-01 00:00:00.0,50,75,12,5.6,22.4,10.1,15,-0.8,8.4,3
3,Marzo,2019-03-01 00:00:00.0,91,73,8,5.6,22.5,10.6,15.9,0.8,11.6,3
4,Abril,2019-04-01 00:00:00.0,172.3,78,16,7.1,24.3,11.1,15.7,3.1,10.3,3
5,Mayo,2019-05-01 00:00:00.0,31.3,71,8,9.5,32.3,14.8,20.3,4.6,11.9,3
6,Junio,2019-06-01 00:00:00.0,86.4,77,13,10.9,29.4,15,19.4,5.3,8.7,3
7,Julio,2019-07-01 00:00:00.0,12.3,77,7,14.5,32.8,18.8,24.1,9.7,11.1,3
8,Agosto,2019-08-01 00:00:00.0,70.2,79,5,14.3,32.2,18.6,23.9,9.5,9.8,3
9,Septiembre,2019-09-01 00:00:00.0,55.4,78,10,13.5,31.2,17.4,22.4,6.8,12.3,3
10,Octubre,2019-10-01 00:00:00.0,178.5,87,17,11,23.5,14.1,17.4,5,8.3,3
11,Noviembre,2019-11-01 00:00:00.0,301.8,90,29,8.1,17.2,10.2,12.8,3.8,10.1,3
12,Diciembre,2019-12-01 00:00:00.0,201,86,18,6.2,19.6,9.4,13.1,0,12,3
1,Enero,2020-01-01 00:00:00.0,196.3,85,16,5.9,15.9,8.8,12,-0.3,12.1,3
2,Febrero,2020-02-01 00:00:00.0,53.3,84,17,7.5,21.9,10.9,14.8,-0.3,12.1,3
3,Marzo,2020-03-01 00:00:00.0,104.4,79,14,6.8,22.3,10.4,14.9,2.2,12.4,3
4,Abril,2020-04-01 00:00:00.0,147.8,83,20,9.3,22.5,12.4,16.3,4.1,8.8,3
5,Mayo,2020-05-01 00:00:00.0,60.7,74,8,11.7,32.4,16.8,22.6,7.5,10.7,3
6,Junio,2020-06-01 00:00:00.0,43.7,79,11,12.3,32.1,16,20.4,8.7,9.4,3
7,Julio,2020-07-01 00:00:00.0,0,72,0,14.6,34.5,19.8,26.3,8.6,13.8,3
8,Agosto,2020-08-01 00:00:00.0,90.4,81,12,14.8,33.4,18.5,23.3,8.5,9.8,3
9,Septiembre,2020-09-01 00:00:00.0,45.9,77,9,13.4,33.1,17.9,23.4,8,9.5,3
10,Octubre,2020-10-01 00:00:00.0,126.8,86,23,10.4,21.6,13.1,16.4,5.7,9.3,3
11,Noviembre,2020-11-01 00:00:00.0,127.6,84,16,8.9,20.8,12.1,15.9,2.6,9.4,3
12,Diciembre,2020-12-01 00:00:00.0,240.5,89,26,6.2,16.5,8.7,11.3,0.9,10.6,3
1,Enero,2021-01-01 00:00:00.0,148.5,88,19,4.4,16.3,7.2,10.6,-2.6,11.7,3
2,Febrero,2021-02-01 00:00:00.0,245.7,84,21,7.4,19.7,10.1,13.1,0.8,13.4,3
3,Marzo,2021-03-01 00:00:00.0,9.3,72,6,5.5,27,10.5,15.9,2.1,11.1,3
4,Abril,2021-04-01 00:00:00.0,90.4,74,11,7.8,22.7,12.2,17.4,3.5,9.9,3
5,Mayo,2021-05-01 00:00:00.0,102.3,77,14,8.5,26.6,13,17.8,2.3,10.3,3
6,Junio,2021-06-01 00:00:00.0,73.7,78,9,11.9,30.4,16.1,21.3,5.8,10.9,3
7,Julio,2021-07-01 00:00:00.0,19,81,9,13.7,34.2,17.3,22,10.1,9.4,3
8,Agosto,2021-08-01 00:00:00.0,17.4,81,6,13.9,31,18.2,23.9,10.8,9.9,3
9,Septiembre,2021-09-01 00:00:00.0,77.3,83,15,13.4,28.9,17.2,22,8.2,8.4,3
10,Octubre,2021-10-01 00:00:00.0,104.9,85,15,10.5,25.8,14.6,19.3,4.7,8.5,3
11,Noviembre,2021-11-01 00:00:00.0,42,85,11,5.9,19.2,9.6,14,2.6,10,3
12,Diciembre,2021-12-01 00:00:00.0,162.1,86,21,8.1,20,10.9,14.1,1.2,10,3
1,Enero,2022-01-01 00:00:00.0,43.7,79,9,4.1,20,8.4,13.6,-1.3,9.3,3
2,Febrero,2022-02-01 00:00:00.0,33.3,81,11,5.5,18.9,9.4,14,1.4,9.6,3
3,Marzo,2022-03-01 00:00:00.0,113.6,78,14,6.4,20.2,10.2,14.6,-1.3,10.5,3
4,Abril,2022-04-01 00:00:00.0,82,78,13,7,25,11,15.9,0.1,10.7,3
5,Mayo,2022-05-01 00:00:00.0,46.6,76,9,10.9,32.3,15.9,21.6,7.6,9.9,3
6,Junio,2022-06-01 00:00:00.0,45.6,84,14,13,28.9,16.3,20.5,7.2,8.7,3
7,Julio,2022-07-01 00:00:00.0,3.4,73,2,15.6,38.2,21,27.5,8.7,11.2,3
8,Agosto,2022-08-01 00:00:00.0,12.9,79,3,16,32.6,20.1,26,11.6,10.8,3
9,Septiembre,2022-09-01 00:00:00.0,131.9,83,11,13.5,29.6,17.3,22,7.8,8.7,3
10,Octubre,2022-10-01 00:00:00.0,210.3,89,21,13.2,26.2,15.9,19.4,9.3,10.1,3
11,Noviembre,2022-11-01 00:00:00.0,238.7,89,19,8.9,20.3,12,14.9,3.3,8.7,3
12,Diciembre,2022-12-01 00:00:00.0,449.7,90,18,8,16.3,10.7,13.6,0.3,11.7,3
1,Enero,2023-01-01 00:00:00.0,239.6,88,16,5.4,13.8,8.3,11.4,-0.6,10.1,3
2,Febrero,2023-02-01 00:00:00.0,19,73,6,3.5,20.8,8.4,14.4,-0.3,9.1,3
3,Marzo,2023-03-01 00:00:00.0,180.2,83,19,8.1,20.2,11.2,14.8,-0.8,13.3,3
4,Abril,2023-04-01 00:00:00.0,90.7,77,9,8.8,26.8,13.6,19.1,2.9,9.1,3
5,Mayo,2023-05-01 00:00:00.0,101.4,77,10,11,27.7,15.3,20.6,8,11,3
6,Junio,2023-06-01 00:00:00.0,140.2,82,13,14.4,30.4,18.6,23.9,11.5,7.9,3
7,Julio,2023-07-01 00:00:00.0,27.7,82,8,14.1,26.6,18.3,23,10.6,8.8,3
8,Agosto,2023-08-01 00:00:00.0,39.6,82,7,15.5,37.1,19.6,24.8,11.5,8.9,3
9,Septiembre,2023-09-01 00:00:00.0,158.3,86,12,14.7,31.4,18.3,22.8,8.6,7.4,3
10,Octubre,2023-10-01 00:00:00.0,380.2,87,18,12.9,32,16.4,20.6,8.3,9.7,3
11,Noviembre,2023-11-01 00:00:00.0,311.8,93,20,9.6,18.3,12.1,14.9,1.4,10.5,3
12,Diciembre,2023-12-01 00:00:00.0,236.6,93,18,5.9,16.1,9.2,12.5,-1.4,9.3,3
1,Enero,2024-01-01 00:00:00.0,221.4,89,15,6.5,20.9,9.9,13.2,-1,10,3
2,Febrero,2024-02-01 00:00:00.0,297.6,89,16,7.2,20.9,10.8,14.9,4,10.8,3
